"price","trim","isOneOwner","mileage","year","color","displacement","fuel","region","soundSystem","wheelType"
12888,"500","f",111971,2004,"Black","5","Gasoline","WSC","unsp","Alloy"
11900,"500","f",99331,2003,"Black","5","Gasoline","ESC","unsp","unsp"
7800,"500","f",99273,2000,"Silver","5","Gasoline","ENC","unsp","Alloy"
5995,"500","f",149960,2003,"Black","5","Gasoline","Mid","Bose","unsp"
9995,"500","f",113020,2001,"Gray","5","Gasoline","Pac","Bose","Premium"
11991,"500","f",75720,2002,"Black","5","Gasoline","SoA","unsp","unsp"
7995,"500","f",155229,2002,"Black","5","Gasoline","SoA","unsp","Alloy"
10500,"500","f",107333,2001,"Black","5","Gasoline","SoA","unsp","Alloy"
9992,"500","f",119356,2003,"Black","5","Gasoline","SoA","unsp","unsp"
6995,"500","f",77985,2000,"Black","5","Gasoline","SoA","Premium","Alloy"
21988,"600","f",7009,2001,"Gray","5.8","Gasoline","Mid","unsp","Alloy"
6992,"600","f",179567,2002,"Silver","5.8","Gasoline","SoA","unsp","Alloy"
14977,"430","f",90895,2005,"White","4.3","Gasoline","SoA","unsp","unsp"
15995,"430","f",69903,2006,"Black","4.3","Gasoline","New","unsp","unsp"
8914,"430","f",188321,2003,"Silver","4.3","Gasoline","ENC","unsp","Alloy"
12950,"430","f",107480,2006,"unsp","4.3","Gasoline","ESC","unsp","Alloy"
11960,"430","f",112732,2004,"White","4.3","Gasoline","SoA","Bose","Alloy"
12999,"430","f",99820,2005,"Silver","4.3","Gasoline","SoA","unsp","Alloy"
13991,"430","f",119621,2005,"Silver","4.3","Gasoline","ENC","unsp","Alloy"
10995,"430","f",160513,2006,"Black","4.3","Gasoline","Mid","Premium","Alloy"
11995,"430","f",132277,2004,"Black","4.3","Gasoline","ENC","unsp","unsp"
11950,"430","f",71377,2003,"Blue","4.3","Gasoline","SoA","Premium","unsp"
16499,"500","f",73246,2006,"Silver","5","Gasoline","ENC","Premium","Alloy"
12995,"500","f",109108,2003,"Black","5","Gasoline","Mid","unsp","unsp"
29481,"550","f",56290,2007,"Black","5.5","Gasoline","SoA","unsp","unsp"
23492,"550","f",85201,2007,"Black","5.5","Gasoline","SoA","unsp","unsp"
35822,"550","t",16894,2007,"Black","5.5","Gasoline","WSC","Harman Kardon","Alloy"
49910,"550","f",14968,2009,"Black","5.5","Gasoline","Pac","unsp","unsp"
28900,"550","f",66400,2007,"Silver","5.5","Gasoline","WSC","Premium","Alloy"
24990,"550","f",99676,2007,"Gray","5.5","Gasoline","SoA","Premium","Alloy"
28971,"550","f",79852,2007,"Silver","5.5","Gasoline","Pac","Harman Kardon","Alloy"
25998,"550","f",103557,2007,"Black","5.5","Gasoline","SoA","Harman Kardon","unsp"
37991,"550","f",70011,2007,"Silver","5.5","Gasoline","SoA","Premium","Alloy"
27495,"550","f",109431,2008,"White","5.5","Gasoline","SoA","Bose","unsp"
24900,"550","f",60000,2007,"White","5.5","Gasoline","Pac","unsp","unsp"
36990,"550","f",66000,2007,"Black","5.5","Gasoline","Mid","Premium","unsp"
26977,"550","t",90000,2007,"Black","5.5","Gasoline","SoA","unsp","Alloy"
38890,"550","f",22537,2008,"White","5.5","Gasoline","ESC","unsp","Alloy"
20995,"550","f",88984,2007,"Black","5.5","Gasoline","Pac","unsp","unsp"
28981,"550","f",60985,2007,"Silver","5.5","Gasoline","Pac","unsp","Alloy"
26500,"550","f",62495,2008,"Black","5.5","Gasoline","SoA","Harman Kardon","unsp"
28991,"550","f",88301,2008,"Black","5.5","Gasoline","WSC","Harman Kardon","unsp"
32995,"550","f",72000,2008,"White","5.5","Gasoline","Pac","Harman Kardon","unsp"
27898,"550","f",91091,2009,"Black","5.5","Gasoline","Mtn","Harman Kardon","Alloy"
24883,"550","f",69479,2007,"Silver","5.5","Gasoline","Pac","unsp","unsp"
31999,"550","f",83457,2007,"Black","5.5","Gasoline","Pac","unsp","unsp"
18998,"550","f",89511,2007,"Silver","5.5","Gasoline","SoA","unsp","unsp"
33993,"550","f",81476,2009,"Black","5.5","Gasoline","ESC","unsp","unsp"
23900,"550","f",109400,2007,"Silver","5.5","Gasoline","SoA","unsp","Alloy"
26900,"550","f",121000,2007,"other","5.5","Gasoline","WSC","unsp","unsp"
18525,"550","f",124873,2007,"White","5.5","Gasoline","Mid","Harman Kardon","unsp"
27971,"550","f",86447,2007,"Black","5.5","Gasoline","Pac","Harman Kardon","Alloy"
26488,"550","f",82289,2008,"Silver","5.5","Gasoline","Pac","unsp","unsp"
29995,"550","f",87839,2007,"White","5.5","Gasoline","Pac","unsp","unsp"
21997,"550","f",96841,2007,"Gray","5.5","Gasoline","SoA","Premium","unsp"
26884,"550","f",38578,2007,"Black","5.5","Gasoline","SoA","unsp","unsp"
29995,"550","t",74000,2007,"Black","5.5","Gasoline","Pac","Harman Kardon","unsp"
29994,"550","f",67111,2009,"White","5.5","Gasoline","WSC","Harman Kardon","Alloy"
39000,"550","t",9239,2009,"Black","5.5","Gasoline","WSC","unsp","unsp"
38895,"550","f",70300,2009,"Black","5.5","Gasoline","Pac","Premium","Alloy"
28550,"550","f",113473,2007,"Black","5.5","Gasoline","SoA","unsp","unsp"
29988,"550","f",63748,2008,"Black","5.5","Gasoline","WSC","Harman Kardon","unsp"
21885,"550","f",102900,2007,"Gray","5.5","Gasoline","Pac","unsp","unsp"
34999,"550","f",62400,2007,"Black","5.5","Gasoline","SoA","unsp","unsp"
30995,"550","f",67065,2008,"Gray","5.5","Gasoline","SoA","Harman Kardon","Alloy"
40918,"550","f",39891,2009,"Black","5.5","Gasoline","SoA","Harman Kardon","Alloy"
36995,"550","f",38314,2007,"Black","5.5","Gasoline","Mtn","Premium","unsp"
19881,"550","t",131621,2007,"Black","5.5","Gasoline","SoA","Harman Kardon","Alloy"
22999,"550","f",109000,2007,"Silver","5.5","Gasoline","SoA","Premium","Alloy"
34999,"550","f",55280,2008,"Black","5.5","Gasoline","SoA","Premium","Alloy"
27495,"550","f",94700,2008,"Blue","5.5","Gasoline","Pac","Premium","Alloy"
28950,"600","t",120929,2008,"Silver","5.5","Gasoline","Mid","unsp","Alloy"
49750,"600","f",43394,2009,"Silver","5.5","Gasoline","ENC","Harman Kardon","Alloy"
34900,"600","f",82794,2008,"Gray","5.5","Gasoline","Mtn","unsp","unsp"
44695,"63 AMG","t",59597,2008,"Black","6.3","Gasoline","Mid","Harman Kardon","unsp"
48995,"63 AMG","f",64677,2008,"White","6.3","Gasoline","Pac","unsp","Alloy"
46999,"550","f",32467,2011,"White","5.5","Gasoline","SoA","Premium","Alloy"
42625,"550","f",28199,2010,"Silver","5.5","Gasoline","ESC","Premium","unsp"
52888,"550","f",30351,2011,"White","5.5","Gasoline","Pac","Harman Kardon","Alloy"
58995,"550","t",20425,2011,"Black","5.5","Gasoline","SoA","Harman Kardon","Alloy"
43981,"550","f",40063,2010,"White","5.5","Gasoline","SoA","unsp","unsp"
38000,"550","f",37274,2010,"Silver","5.5","Gasoline","ESC","Harman Kardon","Alloy"
44999,"550","f",51066,2011,"Black","5.5","Gasoline","SoA","Harman Kardon","unsp"
45900,"550","t",27942,2010,"White","5.5","Gasoline","SoA","Harman Kardon","unsp"
39800,"550","f",59037,2010,"Black","5.5","Gasoline","SoA","Premium","unsp"
56995,"550","f",28752,2011,"White","5.5","Gasoline","WSC","Harman Kardon","Alloy"
33988,"550","f",49394,2010,"Black","5.5","Gasoline","SoA","Premium","Alloy"
32907,"550","f",65096,2010,"Black","5.5","Gasoline","SoA","unsp","unsp"
56971,"550","f",24922,2011,"Silver","5.5","Gasoline","Pac","Harman Kardon","Alloy"
45000,"550","f",30714,2011,"Black","5.5","Gasoline","Pac","Harman Kardon","Alloy"
43900,"550","f",56801,2010,"Black","5.5","Gasoline","Pac","Harman Kardon","Alloy"
45994,"550","t",44726,2010,"Black","5.5","Gasoline","ESC","unsp","Alloy"
38999,"550","t",32886,2011,"Silver","5.5","Gasoline","SoA","Premium","Alloy"
46491,"550","f",37296,2010,"Black","5.5","Gasoline","WSC","Harman Kardon","unsp"
42750,"550","t",41272,2010,"White","5.5","Gasoline","WSC","Harman Kardon","Alloy"
42499,"550","t",53735,2010,"Silver","5.5","Gasoline","SoA","Harman Kardon","Alloy"
51995,"550","t",30325,2010,"Black","5.5","Gasoline","WSC","unsp","unsp"
56877,"550","t",27481,2011,"Silver","5.5","Gasoline","SoA","unsp","unsp"
47991,"550","f",59478,2011,"Black","5.5","Gasoline","SoA","Harman Kardon","unsp"
50000,"550","t",31223,2012,"Black","4.6","Gasoline","WSC","Harman Kardon","Alloy"
67900,"550","t",14186,2013,"Black","4.6","Gasoline","SoA","Harman Kardon","Alloy"
46995,"550","t",34842,2012,"Black","4.6","Gasoline","ESC","unsp","unsp"
66899,"550","f",9720,2013,"White","4.6","Gasoline","SoA","Premium","Alloy"
56888,"550","t",21171,2013,"Silver","4.6","Gasoline","Pac","Premium","unsp"
52999,"550","f",20464,2013,"Gray","4.6","Gasoline","SoA","Premium","Alloy"
55995,"550","t",15200,2012,"Silver","4.6","Gasoline","Pac","Harman Kardon","Alloy"
76895,"550","f",9018,2013,"Black","4.6","Gasoline","Pac","unsp","unsp"
62900,"550","t",18749,2012,"Silver","4.6","Gasoline","SoA","Harman Kardon","unsp"
57990,"550","t",15763,2012,"Black","4.6","Gasoline","SoA","Harman Kardon","Alloy"
75800,"550","t",6983,2013,"Silver","4.6","Gasoline","SoA","Harman Kardon","Alloy"
52988,"550","f",35939,2012,"White","4.6","Gasoline","SoA","Harman Kardon","Alloy"
65990,"550","f",15132,2013,"White","4.6","Gasoline","ESC","Harman Kardon","unsp"
64000,"63 AMG","f",53500,2011,"Black","5.5","Gasoline","WSC","Premium","Alloy"
59986,"63 AMG","f",28286,2010,"Black","6.3","Gasoline","SoA","unsp","Alloy"
72900,"63 AMG","f",38512,2010,"White","6.3","Gasoline","Pac","unsp","unsp"
29833,"550","f",56087,2008,"Black","5.5","Gasoline","SoA","unsp","unsp"
43998,"550","f",33744,2009,"Gray","5.5","Gasoline","New","unsp","unsp"
21900,"550","f",107000,2007,"White","5.5","Gasoline","SoA","Premium","Alloy"
20950,"550","f",96772,2007,"Silver","5.5","Gasoline","Mid","unsp","unsp"
26995,"550","t",85543,2008,"Blue","5.5","Gasoline","SoA","unsp","unsp"
23999,"550","f",62720,2007,"Gray","5.5","Gasoline","ENC","unsp","unsp"
30995,"550","f",65875,2008,"Gray","5.5","Gasoline","ENC","Harman Kardon","Alloy"
24975,"550","f",78591,2009,"Black","5.5","Gasoline","Mid","Premium","Alloy"
33900,"550","f",61424,2009,"Black","5.5","Gasoline","ENC","Premium","Alloy"
28288,"550","f",48248,2007,"Black","5.5","Gasoline","Mtn","unsp","unsp"
29997,"550","t",65966,2008,"White","5.5","Gasoline","Mid","Premium","Alloy"
27995,"550","f",92080,2007,"Silver","5.5","Gasoline","SoA","unsp","Alloy"
25950,"550","f",80040,2007,"other","5.5","Gasoline","WSC","unsp","unsp"
25985,"550","f",74912,2007,"White","5.5","Gasoline","ENC","Harman Kardon","Alloy"
28980,"550","f",95293,2007,"White","5.5","Gasoline","SoA","Harman Kardon","unsp"
32900,"550","f",39790,2008,"Gray","5.5","Gasoline","Pac","Premium","Alloy"
24432,"550","f",82461,2008,"Black","5.5","Gasoline","ENC","unsp","Alloy"
24995,"550","f",61103,2009,"other","5.5","Gasoline","ENC","unsp","unsp"
32500,"550","t",42459,2008,"Silver","5.5","Gasoline","Mid","unsp","Alloy"
23139,"550","f",95454,2008,"Silver","5.5","Gasoline","ENC","Harman Kardon","Alloy"
24975,"550","f",101971,2009,"Black","5.5","Gasoline","Mid","unsp","Alloy"
34995,"550","f",59042,2008,"White","5.5","Gasoline","Mid","Premium","Alloy"
25980,"550","f",108000,2008,"Black","5.5","Gasoline","ESC","unsp","Alloy"
29900,"550","f",78798,2008,"Black","5.5","Gasoline","New","unsp","unsp"
30495,"550","f",56910,2009,"Blue","5.5","Gasoline","Mid","unsp","unsp"
33995,"550","f",43644,2008,"Black","5.5","Gasoline","Mid","Harman Kardon","Alloy"
37877,"550","f",64459,2009,"White","5.5","Gasoline","New","Harman Kardon","unsp"
27789,"550","f",83009,2007,"Black","5.5","Gasoline","SoA","unsp","unsp"
26850,"550","f",80020,2008,"Gray","5.5","Gasoline","ESC","Premium","Alloy"
31991,"550","f",78341,2008,"Black","5.5","Gasoline","ENC","Premium","Alloy"
54995,"350","f",29108,2012,"Black","3","Diesel","SoA","unsp","unsp"
39555,"350","f",56595,2012,"Silver","3","Diesel","ENC","Harman Kardon","Alloy"
37995,"350","t",66689,2012,"Black","3","Diesel","Mid","Harman Kardon","Alloy"
46994,"550","f",36031,2011,"Black","5.5","Gasoline","SoA","Premium","Premium"
37402,"550","t",78376,2011,"Black","5.5","Gasoline","SoA","Harman Kardon","unsp"
49900,"550","t",35309,2011,"Black","5.5","Gasoline","SoA","Harman Kardon","Alloy"
37995,"550","f",58101,2010,"Silver","5.5","Gasoline","SoA","unsp","unsp"
43295,"550","f",61053,2011,"Silver","5.5","Gasoline","SoA","unsp","unsp"
47900,"550","f",27128,2010,"Black","5.5","Gasoline","ESC","unsp","unsp"
49950,"550","t",19488,2011,"Black","5.5","Gasoline","SoA","Harman Kardon","unsp"
34890,"550","f",57363,2010,"unsp","5.5","Gasoline","Mid","Harman Kardon","Alloy"
42995,"550","f",53168,2010,"White","5.5","Gasoline","Mid","unsp","Alloy"
42999,"550","t",39315,2011,"Gray","5.5","Gasoline","SoA","unsp","Alloy"
37999,"550","t",42571,2011,"Silver","5.5","Gasoline","SoA","Premium","Alloy"
51659,"550","f",30948,2011,"White","5.5","Gasoline","ENC","unsp","unsp"
51995,"550","f",38920,2011,"Gray","5.5","Gasoline","ESC","Premium","unsp"
36000,"550","t",61005,2011,"White","5.5","Gasoline","Mid","Harman Kardon","unsp"
47995,"550","t",8556,2011,"Silver","5.5","Gasoline","WSC","Harman Kardon","Alloy"
36990,"550","f",65174,2010,"Black","5.5","Gasoline","Mtn","unsp","Alloy"
35490,"550","f",47413,2010,"Silver","5.5","Gasoline","Pac","unsp","unsp"
40935,"550","f",49725,2011,"Silver","5.5","Gasoline","SoA","unsp","Alloy"
29995,"550","f",75134,2010,"White","5.5","Gasoline","WSC","unsp","Alloy"
53800,"550","f",29150,2011,"Silver","5.5","Gasoline","ESC","unsp","Alloy"
42995,"550","t",30490,2011,"White","5.5","Gasoline","Mid","unsp","Alloy"
48995,"550","f",29129,2011,"Gray","5.5","Gasoline","Mid","unsp","Alloy"
72990,"550","f",21845,2012,"Black","4.6","Gasoline","WNC","Premium","Alloy"
50995,"550","t",29301,2013,"Gray","4.6","Gasoline","Mid","Harman Kardon","Alloy"
41999,"550","t",49079,2012,"Black","4.6","Gasoline","SoA","Premium","Alloy"
57900,"550","f",35667,2012,"Black","4.6","Gasoline","ENC","Premium","Alloy"
63908,"550","t",31921,2012,"unsp","4.6","Gasoline","WNC","Premium","Alloy"
63574,"550","t",21804,2012,"Silver","4.6","Gasoline","SoA","unsp","unsp"
58999,"550","f",28486,2012,"Black","4.6","Gasoline","WSC","Premium","Alloy"
48850,"550","f",38564,2012,"Black","4.6","Gasoline","WSC","Harman Kardon","Alloy"
48995,"550","f",26137,2012,"Silver","4.6","Gasoline","Mid","Premium","Alloy"
67995,"550","t",28966,2012,"White","4.6","Gasoline","New","unsp","Alloy"
49900,"550","f",48460,2012,"Black","4.6","Gasoline","SoA","Bang Olufsen","Alloy"
69998,"550","t",18018,2012,"Silver","4.6","Gasoline","New","Harman Kardon","Alloy"
56900,"550","f",27464,2012,"Silver","4.6","Gasoline","ENC","Premium","Alloy"
46995,"550","f",47916,2013,"Blue","4.6","Gasoline","Mid","unsp","Alloy"
49999,"550","t",27366,2012,"Black","4.6","Gasoline","SoA","Premium","Alloy"
63995,"550","f",20397,2012,"Black","4.6","Gasoline","Mid","unsp","Alloy"
50999,"550","f",21873,2013,"Blue","4.6","Gasoline","SoA","Harman Kardon","Alloy"
52995,"550","t",21790,2013,"Gray","4.6","Gasoline","WSC","Harman Kardon","Alloy"
49999,"550","f",24785,2013,"White","4.6","Gasoline","SoA","Premium","Alloy"
64800,"550","f",12488,2013,"White","4.6","Gasoline","ESC","Harman Kardon","unsp"
33985,"400","f",62010,2010,"unsp","3.5","Hybrid","ENC","Harman Kardon","Alloy"
59990,"400","f",17765,2013,"Black","3.5","Hybrid","SoA","Harman Kardon","Alloy"
40995,"400","f",40428,2010,"Black","3.5","Hybrid","SoA","Harman Kardon","Alloy"
6998,"320","f",82230,1999,"Gray","3.2","Gasoline","Pac","Bose","Alloy"
4995,"320","f",134000,1997,"Black","3.2","Gasoline","WSC","unsp","Alloy"
9995,"420","f",176047,1996,"Silver","4.2","Gasoline","ESC","unsp","unsp"
4495,"420","f",194448,1998,"Silver","4.2","Gasoline","Pac","unsp","unsp"
7995,"420","f",120701,1998,"Gray","4.2","Gasoline","Pac","Premium","unsp"
3995,"420","f",89000,1998,"Silver","4.2","Gasoline","WNC","Bose","Alloy"
4996,"500","f",199958,1995,"Gray","5","Gasoline","SoA","Premium","Alloy"
3995,"500","f",181000,1995,"White","5","Gasoline","SoA","unsp","Alloy"
2999,"500","f",207399,1997,"Black","5","Gasoline","Mid","unsp","Alloy"
7500,"430","f",205862,2000,"other","4.3","Gasoline","Pac","unsp","Alloy"
10950,"430","f",109121,2002,"other","4.3","Gasoline","WSC","Premium","Alloy"
10000,"430","f",96584,2002,"White","4.3","Gasoline","WSC","Premium","unsp"
10900,"430","f",144952,2006,"Silver","4.3","Gasoline","ESC","Bose","unsp"
6999,"430","f",161189,2001,"Silver","4.3","Gasoline","SoA","unsp","unsp"
8495,"430","f",113183,2003,"Silver","4.3","Gasoline","WSC","Premium","Alloy"
12999,"430","f",101754,2006,"Gray","4.3","Gasoline","Pac","unsp","unsp"
8288,"430","f",129131,2000,"White","4.3","Gasoline","Pac","unsp","Alloy"
9500,"430","f",73302,2001,"Silver","4.3","Gasoline","SoA","Premium","unsp"
6995,"430","t",136329,2002,"Silver","4.3","Gasoline","WSC","unsp","Alloy"
6988,"430","f",167000,2002,"Black","4.3","Gasoline","Mtn","unsp","Alloy"
8795,"430","f",96130,2002,"Blue","4.3","Gasoline","Mid","unsp","unsp"
17995,"430","f",84266,2006,"Gray","4.3","Gasoline","Mtn","Premium","Alloy"
15000,"430","f",77675,2006,"White","4.3","Gasoline","WSC","Premium","Alloy"
10999,"430","f",116289,2005,"Silver","4.3","Gasoline","SoA","Premium","Alloy"
8989,"430","f",189691,2006,"Silver","4.3","Gasoline","SoA","Premium","Alloy"
8850,"430","t",95711,2002,"Silver","4.3","Gasoline","WSC","Bose","Alloy"
9998,"430","f",97274,2002,"Black","4.3","Gasoline","Pac","unsp","unsp"
8650,"430","f",112835,2000,"Black","4.3","Gasoline","SoA","Bose","Alloy"
10900,"430","f",64257,2001,"White","4.3","Gasoline","SoA","unsp","Alloy"
8995,"430","f",144500,2002,"Silver","4.3","Gasoline","Mtn","unsp","Alloy"
9995,"430","f",55975,2000,"White","4.3","Gasoline","Mid","Premium","Alloy"
4999,"430","f",174380,2000,"Silver","4.3","Gasoline","SoA","unsp","unsp"
9994,"430","f",102066,2004,"other","4.3","Gasoline","Pac","Premium","Alloy"
17968,"430","f",54928,2006,"Gray","4.3","Gasoline","SoA","Bose","Alloy"
13975,"55 AMG","f",81836,2004,"Silver","5.4","Gasoline","Pac","unsp","Alloy"
13717,"55 AMG","f",99240,2005,"Silver","5.4","Gasoline","Mid","unsp","unsp"
23990,"55 AMG","f",61797,2005,"Black","5.4","Gasoline","Mtn","unsp","Alloy"
10995,"55 AMG","f",121675,2006,"Silver","5.4","Gasoline","ENC","unsp","unsp"
4999,"500","f",117556,2001,"Black","5","Gasoline","SoA","unsp","Alloy"
16499,"500","f",76149,2006,"other","5","Gasoline","SoA","unsp","unsp"
5000,"500","f",151402,2000,"Black","5","Gasoline","ESC","unsp","unsp"
8495,"500","f",109160,2000,"other","5","Gasoline","SoA","unsp","unsp"
7500,"500","f",101165,2002,"Silver","5","Gasoline","Mid","unsp","Alloy"
7997,"500","f",140452,2002,"Black","5","Gasoline","SoA","unsp","Alloy"
11995,"500","f",131543,2003,"Silver","5","Gasoline","SoA","unsp","Alloy"
10950,"500","f",141141,2006,"Silver","5","Gasoline","Pac","unsp","Alloy"
9500,"500","f",82982,2001,"White","5","Gasoline","ESC","Bose","Alloy"
8858,"500","f",101656,2002,"Black","5","Gasoline","Pac","unsp","unsp"
11900,"500","f",89814,2003,"Black","5","Gasoline","SoA","unsp","Alloy"
8894,"500","f",71102,2000,"Silver","5","Gasoline","SoA","unsp","unsp"
9000,"500","f",154000,2006,"Silver","5","Gasoline","SoA","unsp","Alloy"
21995,"500","f",60821,2006,"White","5","Gasoline","SoA","unsp","unsp"
10900,"500","t",94249,2001,"Silver","5","Gasoline","SoA","Premium","Alloy"
7995,"500","f",137917,2004,"Blue","5","Gasoline","WSC","Premium","unsp"
8896,"500","f",88502,2001,"Silver","5","Gasoline","New","unsp","unsp"
9880,"500","f",100800,2001,"Black","5","Gasoline","Mid","Bose","Alloy"
6995,"500","f",154025,2000,"Silver","5","Gasoline","Mtn","unsp","unsp"
12995,"500","f",59680,2002,"Silver","5","Gasoline","Mtn","Premium","Alloy"
14995,"500","f",125831,2003,"Black","5","Gasoline","SoA","Premium","Alloy"
19493,"600","f",55313,2004,"Black","5.5","Gasoline","Mid","Bose","Alloy"
12995,"600","f",100102,2003,"Gray","5.5","Gasoline","Pac","unsp","Alloy"
17000,"600","f",68782,2005,"Black","5.5","Gasoline","SoA","Premium","Alloy"
14950,"600","f",83086,2003,"Gray","5.5","Gasoline","Mtn","Premium","unsp"
13988,"600","f",96258,2003,"unsp","5.5","Gasoline","WNC","Bose","Alloy"
12795,"600","f",105258,2001,"Silver","5.8","Gasoline","SoA","unsp","Alloy"
11279,"600","t",69869,2002,"Black","5.8","Gasoline","WSC","Premium","Alloy"
14995,"600","f",88174,2002,"Black","5.8","Gasoline","SoA","Bose","Alloy"
9295,"600","f",123420,2001,"Blue","5.8","Gasoline","Mid","unsp","unsp"
10000,"430","f",117819,2004,"unsp","4.3","Gasoline","WNC","unsp","unsp"
14900,"430","f",118000,2006,"Gray","4.3","Gasoline","Mid","Premium","Alloy"
12985,"430","f",128946,2006,"Black","4.3","Gasoline","SoA","Premium","Alloy"
13995,"430","t",102215,2006,"Silver","4.3","Gasoline","Mid","Premium","unsp"
6995,"430","f",113378,2003,"other","4.3","Gasoline","New","Bose","Alloy"
14995,"500","f",75984,2004,"Black","5","Gasoline","SoA","unsp","Alloy"
13995,"500","f",93366,2005,"Black","5","Gasoline","SoA","unsp","Alloy"
9995,"500","f",159644,2004,"Black","5","Gasoline","Mid","unsp","Alloy"
21995,"500","f",63281,2006,"unsp","5","Gasoline","WSC","unsp","Alloy"
21950,"500","f",48831,2006,"Silver","5","Gasoline","WSC","Harman Kardon","Alloy"
17499,"500","f",61393,2006,"Gray","5","Gasoline","SoA","Bose","unsp"
32991,"550","t",30336,2007,"White","5.5","Gasoline","Pac","Premium","Alloy"
25833,"550","f",75875,2007,"Silver","5.5","Gasoline","New","unsp","Alloy"
24465,"550","f",76471,2007,"Gray","5.5","Gasoline","Pac","unsp","unsp"
37991,"550","f",47719,2007,"other","5.5","Gasoline","SoA","unsp","unsp"
