"price","trim","isOneOwner","mileage","year","color","displacement"
9999,"430","f",128899,2003,"Silver","other"
59950,"550","t",22364,2013,"Silver","4.6"
17855,"500","f",65240,2005,"Silver","other"
34512,"550","f",64332,2007,"Black","5.5"
39900,"550","f",48829,2009,"White","5.5"
40788,"550","f",46968,2011,"Black","5.5"
12999,"430","f",126158,2002,"Black","other"
54991,"550","f",21432,2012,"Black","4.6"
8999,"500","f",147813,2002,"Black","other"
27810,"550","f",75032,2007,"Black","5.5"
7990,"500","f",124719,2001,"Silver","other"
2900,"500","f",214858,1997,"other","other"
54999,"550","f",15789,2012,"Black","4.6"
9990,"430","t",80227,2001,"Silver","other"
59993,"550","t",27788,2013,"Black","4.6"
37611,"550","f",48732,2008,"White","5.5"
14990,"430","f",58225,2003,"Black","other"
39995,"550","f",49263,2010,"Silver","5.5"
11988,"430","f",101567,2005,"Silver","other"
31990,"other","f",62988,2007,"other","5.5"
34991,"550","f",47675,2008,"Black","5.5"
62900,"550","f",15404,2012,"other","4.6"
69961,"550","t",27106,2013,"Black","4.6"
44995,"550","f",38911,2011,"Black","5.5"
7995,"500","f",103056,2000,"Black","other"
79995,"other","f",27854,2012,"Black","5.5"
35981,"550","f",63097,2008,"Silver","5.5"
23997,"550","f",71583,2007,"Black","5.5"
57700,"other","t",29047,2010,"White","other"
50995,"550","f",40134,2012,"Silver","4.6"
24750,"550","f",96024,2008,"Silver","5.5"
39999,"550","f",54557,2011,"Black","5.5"
9995,"430","f",145000,2004,"Black","other"
27995,"550","f",105899,2007,"other","5.5"
11495,"500","f",96530,2004,"Silver","other"
47995,"other","f",55449,2009,"Black","other"
38000,"550","f",40053,2009,"other","5.5"
27777,"550","t",79061,2007,"Silver","5.5"
44995,"550","f",43223,2012,"other","4.6"
4995,"430","f",252559,2002,"Silver","other"
36999,"550","f",40613,2010,"Silver","5.5"
11950,"other","f",97742,2001,"Black","other"
59995,"550","f",12841,2013,"Black","4.6"
34895,"550","f",65411,2009,"Black","5.5"
10989,"430","f",53688,2002,"Silver","other"
4900,"other","f",122724,1996,"White","other"
68900,"550","f",12097,2013,"Black","4.6"
33966,"550","f",84552,2009,"White","5.5"
40995,"550","f",29999,2011,"Black","5.5"
43995,"550","f",48300,2010,"other","5.5"
1999,"430","f",194000,2002,"other","other"
34000,"550","f",77285,2008,"Black","5.5"
73995,"other","f",4171,2010,"other","5.5"
29900,"550","f",76702,2007,"Black","5.5"
15998,"430","f",97232,2006,"other","other"
29880,"550","f",89636,2008,"White","5.5"
49981,"other","t",36052,2007,"other","other"
16988,"other","f",99920,2003,"Silver","other"
6900,"430","f",106022,2000,"Black","other"
31995,"550","f",84223,2008,"Black","5.5"
4699,"other","f",138290,1997,"White","other"
20495,"550","f",127321,2007,"other","5.5"
69295,"550","f",17200,2013,"White","4.6"
14900,"430","f",182752,2004,"Black","other"
8977,"500","f",155926,2006,"other","other"
20994,"550","f",107708,2007,"Silver","5.5"
16999,"430","t",68513,2006,"Black","other"
39995,"550","t",54438,2011,"Black","5.5"
15799,"other","f",82901,2003,"other","other"
18988,"other","f",78537,2004,"Black","5.5"
25995,"550","f",87614,2008,"Black","5.5"
35994,"550","f",50129,2008,"Black","5.5"
33994,"550","f",68447,2009,"White","5.5"
51888,"other","f",59444,2010,"Black","other"
8900,"500","f",42583,1999,"other","other"
43999,"550","f",35307,2011,"White","5.5"
15995,"500","f",81011,2004,"Silver","other"
54999,"550","t",20454,2012,"White","4.6"
43995,"550","f",15877,2011,"other","5.5"
51998,"550","f",48341,2012,"Black","4.6"
38499,"550","f",55363,2010,"Black","5.5"
24991,"550","t",64770,2007,"Silver","5.5"
39900,"550","f",29132,2011,"Black","5.5"
36995,"550","f",40549,2007,"other","5.5"
18990,"other","f",101078,2006,"Silver","other"
29988,"550","t",67874,2007,"Black","5.5"
4990,"500","f",150503,2000,"White","other"
5500,"430","f",169065,2000,"other","other"
65998,"550","f",41435,2012,"Black","4.6"
34995,"550","f",45033,2007,"White","5.5"
45495,"550","t",38175,2011,"Black","5.5"
8995,"other","f",144000,2002,"Black","other"
55000,"550","f",13704,2012,"Black","4.6"
19999,"other","f",53881,2004,"other","other"
5900,"430","f",144645,2001,"Silver","other"
76995,"550","t",23334,2013,"White","4.6"
12888,"500","f",111971,2004,"Black","other"
30700,"550","t",79286,2008,"Black","5.5"
37653,"550","f",54160,2009,"Black","5.5"
6480,"other","f",132171,1997,"Silver","other"
43291,"550","f",63654,2010,"White","5.5"
28995,"550","f",76306,2007,"Black","5.5"
14990,"500","f",103577,2006,"White","other"
36478,"other","f",74735,2008,"White","other"
29900,"550","t",40362,2007,"Silver","5.5"
45991,"550","f",38500,2010,"White","5.5"
7990,"500","f",151939,2002,"Silver","other"
57999,"other","f",12974,2012,"other","other"
55950,"550","t",19998,2012,"Black","4.6"
55989,"550","f",40795,2012,"Silver","4.6"
38895,"550","f",45712,2011,"Black","5.5"
16999,"500","f",71000,2004,"other","other"
13990,"other","f",111000,2004,"Black","other"
40999,"550","t",48504,2012,"Silver","4.6"
26975,"550","t",74062,2008,"Black","5.5"
24495,"550","f",78951,2007,"other","5.5"
10988,"500","f",112548,2003,"Silver","other"
59995,"550","f",24440,2013,"Black","4.6"
28999,"550","f",82172,2008,"White","5.5"
7995,"430","f",104350,2003,"Black","other"
5995,"430","f",129884,2001,"other","other"
12500,"other","f",111811,2003,"Silver","other"
34965,"550","f",70180,2008,"other","5.5"
25999,"550","f",110490,2008,"White","5.5"
25000,"550","f",129481,2007,"Silver","5.5"
32995,"550","f",79070,2008,"White","5.5"
8995,"other","f",209246,2005,"Silver","other"
52990,"550","f",24369,2012,"Silver","4.6"
56999,"other","t",35494,2010,"Silver","other"
59931,"550","f",31111,2012,"Black","4.6"
13495,"500","f",95089,2004,"Black","other"
8991,"500","f",92138,1995,"Black","other"
6300,"430","f",155501,2001,"Black","other"
63949,"550","f",14370,2013,"Black","4.6"
29991,"550","f",69564,2008,"Black","5.5"
7999,"430","f",125600,2004,"Black","other"
29991,"550","f",65499,2008,"other","5.5"
31999,"550","t",70954,2008,"White","5.5"
44900,"550","f",53850,2012,"Black","4.6"
10980,"other","f",153001,2006,"Black","other"
39988,"other","f",27007,2010,"other","other"
49995,"550","f",17027,2010,"Black","5.5"
25999,"550","f",39926,2007,"Black","5.5"
27890,"550","t",75675,2007,"other","5.5"
39491,"550","f",60390,2010,"other","5.5"
33900,"550","f",36169,2007,"Black","5.5"
8987,"500","f",140927,2002,"Silver","other"
7990,"430","f",83770,2003,"Silver","other"
11900,"430","f",138939,2006,"White","other"
40995,"other","f",18505,2011,"Silver","other"
5995,"other","f",163027,1995,"other","other"
28995,"550","t",49419,2007,"Black","5.5"
8500,"500","f",85506,2001,"Silver","other"
6950,"430","f",140636,2004,"other","other"
28995,"550","f",73765,2007,"White","5.5"
62888,"550","f",23960,2012,"Black","4.6"
9995,"430","f",120074,2004,"Black","other"
66995,"550","f",14656,2013,"White","4.6"
34991,"other","f",64956,2007,"Black","5.5"
35991,"550","f",52369,2008,"Black","5.5"
47900,"550","f",40270,2012,"Black","4.6"
26000,"550","f",93001,2007,"other","5.5"
56900,"other","f",27149,2008,"Black","other"
43995,"550","f",59191,2010,"Silver","5.5"
26489,"550","f",91896,2008,"other","5.5"
35885,"other","f",105411,2009,"other","other"
28995,"550","t",87651,2007,"Black","5.5"
42950,"550","t",46648,2010,"Black","5.5"
64987,"other","f",36885,2010,"Black","5.5"
44777,"550","f",52616,2012,"Black","4.6"
9995,"430","f",94661,2004,"Silver","other"
22890,"550","f",97340,2007,"Black","5.5"
21987,"550","f",109899,2007,"Black","5.5"
3950,"other","f",194500,1995,"Silver","other"
8500,"500","f",81464,2000,"Black","other"
48995,"other","f",48731,2009,"Black","other"
4995,"other","f",123444,1998,"Black","other"
45995,"550","t",31997,2010,"Silver","5.5"
58995,"550","f",26661,2012,"White","4.6"
13900,"430","f",99614,2006,"other","other"
2700,"other","f",255419,1998,"Black","other"
55998,"550","f",13390,2012,"Black","4.6"
11980,"430","f",100970,2002,"Silver","other"
26900,"550","f",112810,2007,"Black","5.5"
7995,"430","f",103839,2002,"other","other"
33995,"550","f",50735,2007,"other","5.5"
11980,"500","f",77906,2000,"Black","other"
28995,"550","f",81034,2008,"other","5.5"
7994,"430","f",62465,2001,"Silver","other"
10991,"430","f",84283,2001,"other","other"
48999,"550","f",31635,2007,"White","5.5"
18995,"500","t",64063,2006,"White","other"
39991,"550","f",83869,2009,"Silver","5.5"
32777,"550","f",80113,2010,"Silver","5.5"
59977,"550","t",22243,2011,"White","5.5"
28977,"550","f",81074,2008,"Black","5.5"
9000,"500","f",92670,2002,"Black","other"
50995,"550","t",12726,2013,"Black","4.6"
21994,"550","f",99493,2007,"Silver","5.5"
33998,"550","f",118884,2009,"White","5.5"
55898,"550","f",13897,2013,"Black","4.6"
16991,"430","t",101182,2005,"Silver","other"
11999,"500","f",98073,2005,"other","other"
54900,"550","t",10010,2012,"Silver","4.6"
47800,"other","f",71494,2009,"White","other"
37995,"550","t",62574,2011,"Black","5.5"
20000,"550","f",106035,2007,"other","5.5"
34990,"550","f",59303,2008,"White","5.5"
74991,"550","f",14319,2013,"Black","4.6"
14990,"500","f",70000,2004,"Silver","other"
46994,"550","f",21356,2011,"Black","5.5"
23917,"550","f",80082,2007,"Black","5.5"
32888,"550","f",83768,2008,"White","5.5"
11000,"500","t",70031,2001,"Silver","other"
4995,"430","f",182000,2000,"Black","other"
31991,"550","f",53543,2007,"Black","5.5"
64991,"550","f",28210,2012,"Silver","4.6"
32996,"550","f",20274,2010,"other","5.5"
27955,"550","t",75220,2007,"other","5.5"
7995,"other","f",134605,2003,"Black","5.5"
36900,"other","f",35452,2010,"White","other"
33491,"550","f",62767,2009,"Black","5.5"
14900,"other","f",40085,2002,"Black","other"
35993,"550","f",49137,2008,"Black","5.5"
24000,"550","f",99300,2007,"Black","5.5"
32985,"550","f",63907,2008,"other","5.5"
32890,"other","f",69852,2010,"Silver","other"
59888,"550","f",37622,2012,"White","4.6"
27995,"550","f",99852,2007,"other","5.5"
45000,"550","t",45440,2010,"White","5.5"
15999,"500","f",78345,2006,"Black","other"
33970,"550","t",47776,2008,"White","5.5"
46990,"550","f",20027,2011,"Black","5.5"
6990,"500","f",130630,2000,"White","other"
27995,"550","f",84196,2007,"other","5.5"
8995,"430","f",104879,2003,"Black","other"
4995,"other","f",181361,1995,"other","other"
6999,"500","f",156299,2000,"Black","other"
60500,"550","f",23900,2013,"Black","4.6"
33995,"550","t",41887,2007,"Silver","5.5"
9995,"500","t",72452,2001,"Silver","other"
15499,"550","t",86950,2007,"Black","5.5"
50949,"other","f",23879,2012,"Black","other"
52995,"550","t",13083,2011,"other","5.5"
33995,"550","f",38425,2007,"other","5.5"
56900,"550","f",22650,2013,"White","4.6"
5999,"500","f",126548,1996,"White","other"
30950,"550","f",57095,2007,"Black","5.5"
22995,"550","f",60275,2007,"Silver","5.5"
34995,"other","f",58752,2010,"Black","other"
44880,"550","t",32223,2012,"Silver","4.6"
47995,"550","t",44428,2013,"Black","4.6"
38900,"550","f",22512,2008,"Silver","5.5"
66888,"other","t",38275,2010,"White","other"
16488,"430","f",99416,2006,"other","other"
4800,"500","f",120255,2001,"Black","other"
57275,"550","f",18487,2013,"Black","4.6"
52877,"550","f",30490,2011,"White","5.5"
52900,"550","t",42868,2011,"White","5.5"
13998,"430","t",56155,2003,"other","other"
27900,"550","f",67600,2007,"Black","5.5"
13995,"500","f",83755,2003,"Silver","other"
35900,"550","f",66631,2008,"other","5.5"
24950,"550","f",86000,2007,"other","5.5"
10441,"430","f",98747,2004,"Silver","other"
69991,"550","f",23232,2009,"Black","5.5"
11495,"430","f",112562,2005,"Black","other"
26984,"550","f",54893,2007,"Silver","5.5"
45977,"550","t",27495,2011,"other","5.5"
6995,"430","f",112503,2000,"other","other"
28972,"550","f",43760,2007,"Black","5.5"
71949,"550","t",19196,2013,"Silver","4.6"
51995,"550","f",22307,2012,"Silver","4.6"
35995,"550","f",45009,2009,"Black","5.5"
31895,"550","f",67862,2008,"Black","5.5"
77991,"550","f",9862,2013,"Black","4.6"
58990,"550","t",33329,2012,"Black","4.6"
12993,"500","t",103910,2005,"Black","other"
9500,"430","f",111615,2003,"Silver","other"
12995,"430","f",92350,2001,"Black","other"
64810,"550","t",19389,2013,"Black","4.6"
39988,"550","f",55370,2010,"other","5.5"
14988,"500","f",72332,2004,"Silver","other"
8000,"430","f",114000,2001,"other","other"
18888,"500","t",65608,2006,"White","other"
49999,"550","f",5884,2011,"Black","5.5"
24988,"550","f",112106,2008,"other","5.5"
28895,"550","f",65667,2008,"Black","5.5"
12995,"500","f",118892,2005,"White","other"
27995,"550","f",75002,2007,"White","5.5"
6990,"430","f",117352,2000,"White","other"
9900,"430","f",131307,2005,"Black","other"
16900,"500","f",87142,2004,"other","other"
37995,"550","f",56101,2008,"Silver","5.5"
52950,"550","f",39062,2011,"White","5.5"
61999,"550","t",25475,2012,"Black","4.6"
51850,"550","f",42724,2012,"Black","4.6"
12994,"430","f",78126,2003,"Black","other"
56490,"550","t",34481,2013,"White","4.6"
2997,"other","f",154966,1997,"Black","other"
51890,"550","t",26909,2013,"Black","4.6"
43999,"550","f",35475,2011,"other","5.5"
30789,"550","t",68176,2007,"White","5.5"
49995,"other","f",50142,2007,"other","other"
52500,"550","f",26900,2012,"Black","4.6"
42995,"550","f",69661,2010,"Silver","5.5"
6995,"500","f",82745,1998,"White","other"
61900,"other","f",25685,2012,"Black","other"
26995,"550","f",67805,2007,"other","5.5"
48995,"550","f",17287,2012,"White","4.6"
64894,"550","f",27295,2013,"Black","4.6"
71995,"other","f",42037,2012,"Silver","5.5"
13919,"430","f",88617,2004,"Black","other"
29999,"other","t",42271,2010,"Silver","other"
57949,"550","t",33003,2012,"White","4.6"
62992,"550","t",30767,2012,"Black","4.6"
24999,"550","f",59082,2008,"Silver","5.5"
58995,"550","t",13761,2013,"Silver","4.6"
59990,"550","t",24021,2013,"Black","4.6"
5995,"430","f",155600,2001,"Silver","other"
36990,"550","f",51720,2008,"Black","5.5"
27900,"550","f",58400,2007,"other","5.5"
44995,"550","f",31000,2011,"Black","5.5"
22995,"other","f",49378,2003,"Black","other"
28777,"550","t",67540,2008,"other","5.5"
27966,"550","f",57598,2008,"White","5.5"
15990,"430","f",65752,2005,"Black","other"
50395,"550","f",36756,2010,"other","5.5"
6888,"500","f",178984,2000,"Silver","other"
28500,"550","f",61930,2008,"other","5.5"
6494,"other","f",105947,1999,"other","other"
25410,"550","f",100042,2008,"White","5.5"
6995,"430","f",162000,2001,"Silver","other"
10800,"500","f",106586,2004,"Silver","other"
24999,"550","f",54401,2007,"Black","5.5"
57991,"550","f",26225,2012,"White","4.6"
17999,"430","f",19552,2006,"Silver","other"
33900,"other","f",61510,2007,"other","5.5"
24955,"550","f",87389,2007,"other","5.5"
24999,"550","f",127785,2009,"Black","5.5"
49995,"550","t",27776,2013,"Black","4.6"
23551,"550","f",100427,2007,"other","5.5"
4947,"430","f",137412,2001,"other","other"
13900,"500","f",116207,2005,"Black","other"
26850,"550","f",70050,2009,"Silver","5.5"
7000,"430","f",111363,2003,"Silver","other"
51990,"550","t",19832,2012,"Black","4.6"
52995,"550","t",28260,2011,"Black","5.5"
29999,"550","t",64786,2009,"Black","5.5"
36900,"550","f",27300,2007,"Black","5.5"
46800,"550","f",24339,2010,"White","5.5"
44799,"550","f",52602,2011,"Black","5.5"
3900,"other","f",199000,1995,"White","other"
6295,"430","f",163328,2000,"Silver","other"
34991,"other","f",104022,2009,"other","other"
54789,"550","f",14119,2012,"Black","4.6"
36990,"550","f",67145,2007,"Black","5.5"
29995,"550","t",92149,2008,"Black","5.5"
11900,"500","f",92879,2003,"Silver","other"
14991,"other","f",90262,2005,"Silver","5.5"
34995,"550","f",71861,2011,"Black","5.5"
22995,"550","f",96247,2008,"other","5.5"
9495,"500","f",113755,2002,"Silver","other"
29999,"550","f",69617,2007,"other","5.5"
79995,"550","t",12005,2013,"Black","4.6"
33978,"other","f",75782,2008,"Black","other"
7335,"430","f",105163,2004,"Silver","other"
44884,"550","f",45138,2009,"White","5.5"
1899,"430","f",209874,2001,"Silver","other"
34900,"550","f",89700,2010,"Silver","5.5"
10990,"500","f",168438,2000,"other","other"
10995,"500","f",38506,2002,"other","other"
48995,"550","t",38224,2013,"Black","4.6"
44810,"550","f",34337,2010,"Black","5.5"
33995,"550","f",69600,2007,"White","5.5"
20990,"550","f",85099,2007,"other","5.5"
31964,"550","f",67185,2007,"Silver","5.5"
5900,"other","f",105725,1996,"Black","other"
28995,"550","f",67500,2007,"Black","5.5"
39888,"550","f",49792,2008,"Black","5.5"
62000,"550","t",17363,2012,"Black","4.6"
30650,"550","f",66719,2007,"Silver","5.5"
44750,"550","t",34643,2011,"Black","5.5"
31995,"550","f",83181,2008,"Black","5.5"
32900,"550","f",58831,2008,"Black","5.5"
27500,"550","f",60865,2007,"Silver","5.5"
7500,"500","f",88853,1995,"Black","other"
54800,"550","f",21210,2013,"Black","4.6"
8991,"430","f",82535,2001,"White","other"
12981,"430","f",107536,2004,"Black","other"
24691,"550","f",93987,2007,"Black","5.5"
49795,"550","f",31502,2012,"Black","4.6"
25950,"550","f",89658,2007,"Silver","5.5"
9999,"430","f",131282,2003,"Black","other"
23995,"550","f",124322,2008,"Black","5.5"
48900,"550","f",56821,2010,"White","5.5"
33900,"550","f",54450,2007,"Black","5.5"
19688,"500","f",69724,2006,"other","other"
29900,"550","f",71581,2008,"Black","5.5"
49990,"550","f",43115,2010,"Black","5.5"
12500,"500","f",81343,2005,"Silver","other"
56800,"550","f",45631,2012,"Silver","4.6"
4995,"500","f",182524,2000,"Black","other"
25599,"550","t",81854,2007,"Black","5.5"
24995,"550","t",71032,2007,"Black","5.5"
30995,"550","f",69400,2009,"other","5.5"
27999,"550","f",66899,2008,"White","5.5"
11978,"other","f",77990,2002,"Silver","other"
5788,"430","f",126002,2001,"Silver","other"
35877,"550","f",63032,2009,"Black","5.5"
37491,"550","f",57714,2009,"Black","5.5"
38995,"550","f",39683,2011,"Black","5.5"
39995,"550","f",35571,2010,"White","5.5"
25995,"550","f",66040,2007,"other","5.5"
40988,"550","f",58250,2010,"Black","5.5"
42975,"550","f",51741,2010,"Black","5.5"
20995,"550","f",122137,2007,"Black","5.5"
32966,"550","f",40821,2007,"White","5.5"
43999,"550","t",29865,2010,"Black","5.5"
7995,"500","f",166255,2002,"Black","other"
36995,"other","f",86300,2008,"Black","other"
34388,"550","f",54690,2009,"other","5.5"
28979,"other","f",72193,2007,"other","5.5"
9999,"430","f",120891,2003,"Silver","other"
23997,"other","f",59735,2006,"White","5.5"
37989,"other","f",35470,2010,"Silver","other"
49888,"other","f",41955,2009,"White","other"
27999,"550","f",86222,2009,"other","5.5"
30888,"550","t",88113,2009,"other","5.5"
32914,"other","f",71742,2007,"other","5.5"
23900,"550","f",56006,2007,"other","5.5"
36992,"550","t",37060,2007,"other","5.5"
32930,"550","f",63062,2008,"Silver","5.5"
51888,"550","f",27190,2010,"other","5.5"
2998,"other","f",157581,1994,"Black","other"
27550,"550","f",68269,2008,"White","5.5"
29492,"550","f",56538,2007,"other","5.5"
25900,"500","t",48758,2005,"other","other"
26995,"550","f",75381,2007,"White","5.5"
44900,"550","t",57797,2009,"White","5.5"
34990,"550","f",52877,2008,"Silver","5.5"
31998,"550","f",92000,2010,"other","5.5"
25873,"550","f",86312,2007,"other","5.5"
62995,"550","f",12457,2013,"Black","4.6"
29995,"550","f",61582,2007,"Black","5.5"
16999,"500","f",74796,2005,"Black","other"
14992,"500","f",113738,2006,"Silver","other"
57777,"550","f",47109,2010,"White","5.5"
28995,"550","f",90210,2009,"Black","5.5"
32992,"550","f",77054,2008,"White","5.5"
11995,"430","f",39574,2000,"White","other"
33949,"550","f",50785,2009,"Black","5.5"
45000,"550","t",30376,2011,"Black","5.5"
59950,"550","f",20660,2012,"other","4.6"
21995,"500","f",43267,2006,"Black","other"
9998,"430","f",119629,2003,"other","other"
43991,"550","t",38264,2010,"Black","5.5"
27693,"550","f",71810,2007,"Black","5.5"
26500,"550","f",60756,2007,"Black","5.5"
12995,"500","f",94948,2003,"Silver","other"
5995,"430","f",123478,2002,"Black","other"
35890,"550","t",39272,2008,"other","5.5"
38495,"550","f",70150,2010,"Black","5.5"
8995,"500","f",110241,2004,"other","other"
24995,"550","f",104861,2008,"Black","5.5"
16950,"430","f",83507,2006,"other","other"
7995,"500","f",124176,2002,"Black","other"
5900,"430","f",142719,2000,"other","other"
23494,"550","f",86228,2007,"other","5.5"
8988,"430","f",85552,2002,"Silver","other"
49999,"550","f",40129,2013,"Black","4.6"
12500,"430","f",174568,2005,"Black","other"
27995,"550","f",86209,2008,"Black","5.5"
46900,"550","f",30013,2010,"Black","5.5"
68995,"550","f",2325,2012,"Silver","4.6"
10999,"other","f",140128,2001,"Silver","other"
7500,"430","f",241010,2006,"Black","other"
56981,"550","f",30175,2012,"Black","4.6"
16495,"500","f",75012,2006,"other","other"
39850,"other","f",90364,2008,"Black","other"
38958,"550","f",28112,2010,"Black","5.5"
11498,"430","f",127354,2006,"other","other"
36995,"550","f",28303,2008,"other","5.5"
30995,"550","f",62550,2008,"other","5.5"
8995,"500","f",97778,1997,"White","other"
63990,"550","t",19175,2012,"Black","4.6"
21980,"other","t",38389,2004,"Silver","other"
9800,"430","f",131140,2004,"Silver","other"
35988,"550","t",65467,2009,"White","5.5"
15900,"other","f",83545,2002,"Black","other"
54500,"550","f",10285,2012,"Silver","4.6"
38995,"550","t",44062,2012,"Black","4.6"
5999,"500","f",139572,2000,"other","other"
4950,"500","f",105226,1995,"Silver","other"
33950,"550","f",66761,2009,"Black","5.5"
61990,"other","f",21730,2013,"White","other"
45888,"550","f",41590,2011,"Silver","5.5"
28888,"550","f",82998,2007,"other","5.5"
4990,"other","f",190642,1999,"White","other"
46995,"other","t",58268,2009,"Black","other"
4550,"500","f",159380,2000,"Black","other"
44999,"550","t",30020,2011,"Silver","5.5"
22995,"550","f",71565,2007,"other","5.5"
10900,"430","f",112345,2006,"Silver","other"
13900,"430","f",104401,2003,"Silver","other"
59991,"550","f",27186,2013,"Black","4.6"
35995,"550","f",40421,2008,"Black","5.5"
38990,"550","t",35399,2010,"Black","5.5"
42995,"other","f",70459,2008,"Black","other"
4990,"500","f",105230,1997,"other","other"
35595,"550","f",58334,2009,"Black","5.5"
27990,"550","f",76235,2008,"Black","5.5"
26998,"550","f",76757,2007,"Silver","5.5"
2100,"other","f",230985,1995,"White","other"
22995,"550","f",97268,2007,"Black","5.5"
8991,"500","f",112190,2003,"other","other"
69900,"other","f",35205,2011,"White","5.5"
28765,"550","f",88264,2009,"Black","5.5"
11000,"500","f",97041,2003,"Black","other"
25989,"550","f",99784,2007,"other","5.5"
58995,"550","f",14747,2013,"Black","4.6"
39495,"550","f",48430,2011,"Black","5.5"
34981,"550","f",19640,2007,"other","5.5"
28800,"550","f",62147,2008,"Black","5.5"
46917,"other","t",69302,2007,"other","other"
27995,"550","f",64930,2007,"White","5.5"
77891,"550","f",10321,2013,"Black","4.6"
38900,"550","t",68554,2010,"White","5.5"
21990,"430","f",49700,2006,"Silver","other"
5988,"other","f",106109,1994,"other","other"
33900,"550","f",77556,2009,"Black","5.5"
2999,"other","f",87737,1995,"other","other"
13900,"500","f",77850,2005,"other","other"
29900,"550","f",80722,2009,"Silver","5.5"
61994,"550","f",18572,2013,"other","4.6"
7950,"500","f",76918,2000,"other","other"
38888,"550","f",81200,2011,"Black","5.5"
35995,"550","f",48515,2009,"White","5.5"
63891,"550","f",23001,2012,"Black","4.6"
9990,"500","f",51573,1995,"other","other"
68991,"550","f",22142,2012,"Silver","4.6"
39999,"550","f",27221,2012,"Black","4.6"
29864,"550","f",80466,2008,"other","5.5"
24995,"550","f",110061,2008,"Black","5.5"
35995,"550","f",32500,2009,"White","5.5"
6900,"430","f",169608,2002,"Black","other"
11912,"500","f",113505,2005,"other","other"
5800,"500","f",120829,2000,"Black","other"
44500,"other","f",79801,2009,"Black","other"
32900,"550","t",42035,2008,"Black","5.5"
33993,"550","f",80766,2009,"Black","5.5"
25995,"550","f",80005,2007,"Black","5.5"
